"Variable","Wilcox_p.value","Wilcox_significant","Wilcox_paired","Cohens_d","Cohens_d_CI_inf","Cohens_d_CI_sup","Cohens_d_paired","control_median","control_1Q","control_3Q","case_median","case_1Q","case_3Q"
"Right-Hippocampus_Volume_mm3","0.0753","FALSE","FALSE","0.0847","-0.0452","0.2145","FALSE","4248","3922","4524","4286","3946","4639"
"Right-Amygdala_Volume_mm3","0.3663","FALSE","FALSE","0.0257","-0.1041","0.1556","FALSE","1775","1588","1987","1817","1577","2022"
"Right-Accumbens-area_Volume_mm3","0.7052","FALSE","FALSE","0.0324","-0.0974","0.1622","FALSE","841","728","954","836","721","968"
"Right-VentralDC_Volume_mm3","0.6306","FALSE","FALSE","0.0339","-0.0959","0.1638","FALSE","4136","3797","4467","4142","3818","4477"
"Right-vessel_Volume_mm3","0.1023","FALSE","FALSE","-0.0712","-0.2011","0.0587","FALSE","65","38","106","60","34","101"
"Right-choroid-plexus_Volume_mm3","0.0216","TRUE","FALSE","0.1763","0.0462","0.3063","FALSE","1640","1416","1890","1714","1455","1924"
"5th-Ventricle_Volume_mm3","0.3365","FALSE","FALSE","0.025","-0.1049","0.1548","FALSE","0","0","4","0","0","4"
"WM-hypointensities_Volume_mm3","1e-04","TRUE","FALSE","0.2546","0.1242","0.3849","FALSE","1783","1284","2547","2026","1434","2883"
"Left-WM-hypointensities_Volume_mm3","NaN",NA,"FALSE","NaN","NaN","NaN","FALSE","0","0","0","0","0","0"
"Right-WM-hypointensities_Volume_mm3","NaN",NA,"FALSE","NaN","NaN","NaN","FALSE","0","0","0","0","0","0"
"non-WM-hypointensities_Volume_mm3","0.0551","FALSE","FALSE","0.164","0.0339","0.294","FALSE","15","10","24","16","10","27"
"Left-non-WM-hypointensities_Volume_mm3","NaN",NA,"FALSE","NaN","NaN","NaN","FALSE","0","0","0","0","0","0"
"Right-non-WM-hypointensities_Volume_mm3","NaN",NA,"FALSE","NaN","NaN","NaN","FALSE","0","0","0","0","0","0"
"Optic-Chiasm_Volume_mm3","0.0454","TRUE","FALSE","0.1115","-0.0184","0.2415","FALSE","236","183","297","257","187","312"
"CC_Posterior_Volume_mm3","0.7699","FALSE","FALSE","-4e-04","-0.1303","0.1294","FALSE","875","778","998","886","783","1010"
"CC_Mid_Posterior_Volume_mm3","0.6257","FALSE","FALSE","0.0713","-0.0586","0.2012","FALSE","446","386","509","445","385","524"
"CC_Central_Volume_mm3","0.1536","FALSE","FALSE","-0.0722","-0.2021","0.0576","FALSE","469","409","555","466","406","550"
"CC_Mid_Anterior_Volume_mm3","0.7675","FALSE","FALSE","0.0665","-0.0634","0.1964","FALSE","485","420","568","488","405","583"
"CC_Anterior_Volume_mm3","0.9934","FALSE","FALSE","0.0081","-0.1217","0.1379","FALSE","875","761","999","867","753","1006"
