Measure:mean;Left-Lateral-Ventricle;Left-Inf-Lat-Vent;Left-Cerebellum-White-Matter;Left-Cerebellum-Cortex;Left-Thalamus-Proper;Left-Caudate;Left-Putamen;Left-Pallidum;3rd-Ventricle;4th-Ventricle;Brain-Stem;Left-Hippocampus;Left-Amygdala;CSF;Left-Accumbens-area;Left-VentralDC;Left-vessel;Left-choroid-plexus;Right-Lateral-Ventricle;Right-Inf-Lat-Vent;Right-Cerebellum-White-Matter;Right-Cerebellum-Cortex;Right-Thalamus-Proper;Right-Caudate;Right-Putamen;Right-Pallidum;Right-Hippocampus;Right-Amygdala;Right-Accumbens-area;Right-VentralDC;Right-vessel;Right-choroid-plexus;5th-Ventricle;WM-hypointensities;Left-WM-hypointensities;Right-WM-hypointensities;non-WM-hypointensities;Left-non-WM-hypointensities;Right-non-WM-hypointensities;Optic-Chiasm;CC_Posterior;CC_Mid_Posterior;CC_Central;CC_Mid_Anterior;CC_Anterior
44;27.2583;46.2168;88.6566;66.7256;100.6062;84.9304;90.8579;104.6881;40.0474;24.7028;88.8479;78.2298;76.7042;53.2409;82.1264;98.1477;59.4571;54.4636;30.0475;44.7266;85.9196;65.6496;97.5596;84.405;90.6103;104.9411;76.6853;75.24;84.4678;95.9856;44.5294;57.0866;48.6;79.0877;0.0;0.0;68.3889;0.0;0.0;80.7735;114.4339;109.1502;105.3744;107.5425;109.0533
45;17.6315;45.6692;89.1306;66.6394;97.1868;82.3701;88.4961;105.7221;28.0748;17.8863;88.6621;72.282;69.1273;41.3893;78.494;96.1491;67.3636;51.228;13.6046;28.3034;88.5118;67.7813;95.4975;82.1683;89.26;107.1141;72.2305;71.14;79.7955;96.338;72.3385;50.8094;41.3333;74.6549;0.0;0.0;68.75;0.0;0.0;73.6977;117.2985;111.2192;110.5037;109.4252;110.3512
46;30.9132;49.7941;90.572;69.4057;97.4977;86.1517;91.7231;103.1372;39.9377;31.2469;90.7465;76.5233;74.9828;54.747;84.095;97.7736;70.4079;55.3372;30.4152;42.8584;89.1308;68.2889;95.6976;86.3277;90.7733;103.0387;75.8487;74.2958;85.4839;97.2076;67.8851;55.4915;0.0;75.381;0.0;0.0;64.7931;0.0;0.0;82.125;112.2614;106.7385;107.428;104.4058;109.6739
47;20.6988;39.3319;89.0958;65.871;97.7004;85.9328;92.0528;104.8581;31.2359;26.36;87.9809;75.4612;73.2637;47.1458;83.2208;97.5514;68.8182;49.9088;36.728;46.5082;87.9405;66.0463;97.2724;87.0261;92.3017;105.4376;75.3771;72.7624;84.6832;97.631;69.0278;59.5177;0.0;78.0216;0.0;0.0;69.6;0.0;0.0;81.5449;114.4637;107.2143;105.4119;101.3186;111.2967
48;51.2827;50.1857;90.8472;73.9199;99.9942;93.1135;95.8373;106.5877;54.0341;45.2097;88.9336;80.5574;80.1267;68.1694;91.3686;98.2719;0.0;64.4574;44.8221;48.1372;89.5848;72.1519;99.3535;91.323;94.8719;104.9284;78.8691;77.0176;91.0246;96.0159;68.3651;61.3536;57.6667;79.2091;0.0;0.0;61.25;0.0;0.0;87.1795;112.0832;107.8825;109.2565;108.5833;108.8598
49;25.7363;46.0045;89.8849;67.6076;99.4983;86.8071;93.1311;106.7295;32.6;23.2471;88.8523;75.4653;74.4143;41.7556;83.3027;99.2639;69.8814;52.8352;23.9863;39.604;87.4824;65.6495;97.8489;85.4038;93.2767;106.4095;74.83;73.3992;85.5166;97.2747;59.0594;53.071;36.3182;74.9765;0.0;0.0;74.8824;0.0;0.0;81.0444;114.6367;109.2535;108.113;107.3965;111.1815
50;17.9988;45.8908;89.3496;65.8408;97.2952;83.3353;90.0833;105.4611;29.241;20.6146;87.4596;73.4649;72.6345;32.7871;81.4291;97.1081;72.8462;49.584;19.4969;44.4433;86.6643;64.0919;96.2559;83.0267;90.3938;106.0951;73.4771;72.7682;82.6482;97.0053;72.8;51.6576;0.0;74.6594;0.0;0.0;62.6667;0.0;0.0;84.6977;114.2895;108.0069;106.8516;107.7763;110.9584
51;20.0629;43.3687;87.9772;65.4734;97.8833;81.278;87.6746;102.5065;29.287;20.4817;88.6193;73.0498;70.426;36.5617;80.7124;97.333;71.14;52.2333;21.0547;37.2472;88.2176;66.6628;96.3298;81.6372;88.5164;103.038;73.0367;71.386;82.0186;95.9498;77.0;52.7559;40.6667;74.1315;0.0;0.0;71.4839;0.0;0.0;81.2695;113.0524;107.2784;106.009;106.5857;107.7833
52;35.5952;47.9003;89.4482;69.7007;96.6949;88.7116;93.1082;103.1427;45.6388;32.2263;90.6527;76.6235;75.6238;48.5993;84.6264;96.7721;81.25;56.7133;36.5523;47.9341;90.5045;71.624;95.6032;88.4179;93.7715;104.7204;78.0893;77.2842;87.0571;96.636;77.3333;55.1491;0.0;75.9359;0.0;0.0;75.0588;0.0;0.0;69.6667;113.235;105.674;105.5693;104.4814;114.7631
53;40.9718;58.0899;89.0254;70.9955;100.2837;90.4421;94.2691;104.4894;54.913;40.6673;88.7514;79.7555;79.5386;60.007;86.8342;96.997;80.4;56.0013;45.7963;47.2085;87.6198;70.7946;98.683;89.4532;94.2064;104.5853;79.2778;77.9864;87.6084;96.2474;0.0;60.6225;59.0;79.5939;0.0;0.0;70.2727;0.0;0.0;64.1228;110.1847;104.6068;103.4279;105.4584;107.0204
54;23.3155;43.0711;92.6054;69.9298;97.6412;86.0257;92.2289;106.3716;30.9287;26.3899;90.6049;74.7027;74.7542;42.7448;83.1576;100.4591;72.4118;51.5549;27.7472;40.0;91.5736;69.4584;97.7409;87.2887;94.3583;107.3666;75.999;77.0614;86.4043;99.8761;67.8679;54.9247;44.6;76.4373;0.0;0.0;56.25;0.0;0.0;75.5714;112.2696;108.6282;104.6005;107.5179;110.1632
55;16.9712;31.4427;91.0629;68.8024;96.5636;82.9972;90.708;105.4913;24.0145;13.0787;90.535;68.9825;69.8451;36.1273;78.3103;98.2673;70.0526;52.556;18.0208;26.1059;88.6852;67.4567;94.5363;83.4995;90.2944;106.1597;70.9936;72.9685;80.132;96.8457;67.7586;52.2246;0.0;73.7611;0.0;0.0;60.6;0.0;0.0;82.8167;114.2986;108.9119;107.5749;108.6151;110.7211
56;24.5443;43.5256;89.7744;67.9675;96.5436;86.2686;93.591;105.6685;33.1488;25.8701;90.0198;75.1212;74.1182;46.7441;81.0731;97.7479;72.5091;51.5434;28.4485;45.7939;88.7935;68.8819;95.9577;86.055;93.5196;106.6628;77.2249;75.4905;84.8465;97.3161;64.5;55.9385;31.0;75.8116;0.0;0.0;66.1034;0.0;0.0;77.5356;110.8142;106.38;106.8411;104.8333;108.346
57;33.5486;46.5563;95.6455;77.0242;100.6005;89.5967;95.4336;105.1449;38.561;34.8609;94.1906;78.925;79.3828;53.927;86.9662;100.3623;77.2093;55.0842;35.543;40.5642;94.1541;76.5617;98.7145;90.0024;95.0051;104.8411;79.4046;78.2377;87.7737;98.8152;71.4884;57.4635;56.9;76.3204;0.0;0.0;67.04;0.0;0.0;83.0922;113.0896;107.8229;107.998;105.9625;110.3732
58;32.7671;43.9694;90.1947;70.7928;97.4055;87.3487;90.216;103.0026;35.2923;36.6539;89.3292;76.1793;74.5366;49.2552;83.4485;96.2595;76.56;54.4805;33.2708;38.2023;88.9237;69.6354;95.8563;85.8476;90.1074;104.0057;77.3654;75.5282;84.5146;95.7875;65.9865;56.2466;65.0;77.8717;0.0;0.0;63.9245;0.0;0.0;80.567;114.6455;106.8652;108.4846;109.0973;108.4833
