Measure:std;Left-Lateral-Ventricle;Left-Inf-Lat-Vent;Left-Cerebellum-White-Matter;Left-Cerebellum-Cortex;Left-Thalamus-Proper;Left-Caudate;Left-Putamen;Left-Pallidum;3rd-Ventricle;4th-Ventricle;Brain-Stem;Left-Hippocampus;Left-Amygdala;CSF;Left-Accumbens-area;Left-VentralDC;Left-vessel;Left-choroid-plexus;Right-Lateral-Ventricle;Right-Inf-Lat-Vent;Right-Cerebellum-White-Matter;Right-Cerebellum-Cortex;Right-Thalamus-Proper;Right-Caudate;Right-Putamen;Right-Pallidum;Right-Hippocampus;Right-Amygdala;Right-Accumbens-area;Right-VentralDC;Right-vessel;Right-choroid-plexus;5th-Ventricle;WM-hypointensities;Left-WM-hypointensities;Right-WM-hypointensities;non-WM-hypointensities;Left-non-WM-hypointensities;Right-non-WM-hypointensities;Optic-Chiasm;CC_Posterior;CC_Mid_Posterior;CC_Central;CC_Mid_Anterior;CC_Anterior
10;10.1393;13.1072;7.4227;8.5723;6.5113;6.9669;4.5743;2.3379;11.2238;11.2305;8.775;7.4374;5.2905;13.6972;4.516;8.801;6.6169;12.5281;11.4781;11.5513;7.6758;8.6515;6.9447;6.2174;4.7802;2.5349;6.4314;5.1305;5.7065;9.771;12.6876;11.2726;0.0;10.468;0.0;0.0;9.2916;0.0;0.0;18.5253;6.8179;9.7869;9.1957;8.1436;6.8061
11;12.6934;6.4063;5.2422;9.0282;7.1186;6.2257;4.737;3.3599;13.7538;10.674;8.337;6.4639;4.8987;13.0872;4.2319;8.3965;5.8931;12.1889;12.7024;11.8855;4.6248;8.4143;6.8416;6.311;5.0686;3.4312;6.3483;5.0693;5.3268;8.3935;10.0577;12.4084;0.0;8.7641;0.0;0.0;20.5508;0.0;0.0;18.6891;5.2769;10.0417;6.9297;7.8293;5.1228
12;12.0026;11.727;6.4372;8.7896;7.0154;6.7534;4.1457;3.8432;14.6223;11.074;8.8659;6.8183;4.7571;13.0741;4.8458;10.24;8.7222;10.7946;12.0816;8.4818;6.9113;9.4499;7.0396;6.3586;4.6391;2.9487;6.3792;4.7634;4.7072;9.6879;8.0287;11.9638;6.3569;9.3087;0.0;0.0;16.0627;0.0;0.0;18.1941;4.7271;10.4899;6.8646;8.7666;6.9369
13;9.9608;14.3529;4.8908;8.8162;7.3846;7.3334;5.1313;3.1664;11.6351;10.5537;9.1949;7.654;4.7936;12.3582;4.3565;9.72;12.1145;12.8534;11.1382;12.0423;4.5759;9.2172;7.4115;7.1426;4.7499;2.9362;6.7161;4.9274;4.8945;10.5187;6.8941;11.2009;14.6722;19.5046;0.0;0.0;13.2525;0.0;0.0;19.607;7.8898;7.2483;5.4151;6.0178;5.2261
14;12.6234;14.2284;4.8434;8.4527;7.0221;7.2264;5.7233;3.4202;16.1264;11.8501;8.3453;6.6116;5.5273;13.3153;4.5041;7.9694;15.0784;13.3167;13.968;13.6718;5.0649;8.3154;7.2338;7.1498;5.9255;3.2948;6.7679;5.504;5.2999;9.2285;18.4422;12.0981;9.0738;11.2909;0.0;0.0;17.3797;0.0;0.0;18.5397;5.033;10.1166;7.6922;7.3278;4.6649
15;15.7626;22.695;6.3031;9.8245;7.8845;8.2443;5.7209;4.1242;14.1266;11.9527;9.4967;8.2478;5.9632;16.731;7.5839;10.9685;8.4659;16.2103;15.8378;16.6468;5.2498;9.8937;8.2485;8.177;5.4946;3.8676;7.0545;5.8817;6.145;11.218;14.3236;15.2431;0.0;14.751;0.0;0.0;13.6331;0.0;0.0;14.6312;7.4238;7.0132;5.1801;7.104;7.5299
16;11.8195;15.9374;4.5538;8.3704;6.6712;6.0943;4.5495;2.8953;15.5835;11.5732;7.9231;6.4251;4.4224;14.432;3.9448;8.5332;11.4236;13.092;12.1168;11.6976;6.1212;9.3476;6.5806;6.4957;4.4991;2.9774;6.32;4.9266;4.3895;9.366;13.0239;11.9432;6.4807;11.5183;0.0;0.0;9.5621;0.0;0.0;19.3118;5.398;7.3757;7.4901;9.6576;5.6597
17;12.692;10.6129;5.2537;9.6547;6.2249;6.9837;4.4622;3.0836;13.5404;10.9455;8.6245;6.4588;5.0451;11.8702;5.7846;8.5471;6.9536;11.8464;13.0176;11.5547;4.9842;9.0439;6.7707;6.476;4.6208;2.5882;6.2867;4.7515;6.3426;9.0533;2.6458;11.3963;0.0;9.3;0.0;0.0;9.8189;0.0;0.0;19.351;4.8558;7.5118;7.5153;7.7813;5.1191
18;12.0783;12.4797;4.7641;7.5694;6.4594;6.7153;4.4029;3.2064;12.7631;10.9931;7.8327;6.1315;4.362;12.0319;4.427;8.3987;8.5401;12.7878;10.5664;11.083;4.5659;7.8233;6.4611;6.3916;4.6805;3.373;5.7785;4.8517;4.4513;9.2002;6.8799;12.5298;12.0137;10.8967;0.0;0.0;11.4804;0.0;0.0;14.0988;5.7701;7.02;4.7078;5.4544;6.6039
19;11.0514;14.1992;4.2787;8.955;7.8698;7.9927;5.5216;3.8489;16.6233;12.0076;8.0991;8.2549;5.5051;15.086;5.5662;8.7494;9.5004;14.9714;12.0811;12.625;4.7628;8.71;7.9341;8.2533;5.5856;3.9792;7.2747;6.2499;6.4642;9.5105;8.5293;14.6279;0.0;12.7855;0.0;0.0;12.2339;0.0;0.0;21.0013;6.0796;7.0735;4.7829;5.4299;5.328
20;15.3407;15.8728;5.355;9.1327;8.48;8.5725;6.8884;4.1779;15.7907;13.3646;8.7447;7.8348;6.8327;16.2154;5.5579;9.073;15.7855;16.7614;17.06;9.0063;5.628;9.1485;8.7674;7.6867;5.9109;3.6741;7.1097;5.3967;6.7456;10.1925;11.0172;16.7427;8.7702;16.504;0.0;0.0;17.0545;0.0;0.0;16.8239;4.8886;11.0177;6.9957;6.2206;5.9757
21;13.6655;14.6342;6.1251;10.1165;7.0214;6.9513;4.9168;3.2131;15.7349;12.022;8.3914;6.8991;5.5107;14.6336;5.6747;8.4412;9.9605;13.5684;12.8318;15.5137;5.3093;9.7503;7.8348;7.3532;4.86;3.4493;7.0583;6.0517;5.4089;9.4793;10.1289;12.7579;0.0;12.5738;0.0;0.0;18.4259;0.0;0.0;21.5103;5.8205;9.2335;8.3372;7.2752;9.8934
22;12.5121;18.4273;5.3665;9.2175;7.5945;8.4483;5.1007;2.7603;15.955;12.1978;8.5835;8.1929;5.8373;14.5992;5.0228;8.6568;13.799;13.6219;11.9482;16.5317;5.4841;8.9914;8.458;8.4286;5.7899;3.1822;7.3985;5.2763;5.9826;9.2782;9.4412;13.5237;0.0;13.9981;0.0;0.0;13.9137;0.0;0.0;21.6889;7.0869;9.1112;6.4334;5.4347;5.3695
23;14.2622;15.7582;5.2108;8.4032;8.7748;8.0836;5.9638;4.4749;16.5983;11.3261;8.7817;7.7449;5.9356;15.2769;6.4268;10.8013;8.5178;15.4037;15.8656;16.182;5.0044;8.3337;9.0561;8.5595;5.8121;4.4207;7.3147;6.0161;6.8672;10.5003;7.0234;13.9408;0.0;14.7033;0.0;0.0;18.6453;0.0;0.0;16.9923;5.3092;6.4202;5.324;5.3397;6.3989
24;14.992;13.6004;4.8271;8.3903;7.6357;8.2455;6.0551;3.6171;15.7969;12.6691;8.0173;7.888;5.6813;16.0702;6.4239;8.7741;12.884;16.0429;15.1563;15.5144;5.4311;7.8251;8.1809;7.8047;6.2843;3.5214;7.306;5.7121;7.4686;9.6928;10.2008;14.872;0.0;14.3626;0.0;0.0;14.1725;0.0;0.0;19.5058;5.5613;11.8945;6.2078;5.2481;4.7995
25;13.3245;17.2905;5.0104;7.9925;7.5407;7.7368;5.2332;2.6925;15.82;12.0538;7.6902;7.2538;4.961;14.7801;5.4457;8.1994;11.9058;14.7361;13.9951;15.077;4.4945;8.2758;7.6696;7.7259;5.5266;2.549;6.8765;5.1304;6.2601;9.2361;9.1076;13.3816;0.0;12.8972;0.0;0.0;8.7254;0.0;0.0;20.7138;5.1458;8.5267;6.2421;5.4929;4.8053
26;15.6471;21.3554;5.4864;9.9743;9.0942;7.6692;5.6557;3.3281;16.7812;11.5661;8.8803;8.394;6.0414;16.6116;6.9299;11.1342;9.1319;15.5821;15.0488;17.359;5.2401;9.6929;9.3545;8.4637;5.9265;3.2847;7.8264;5.3197;5.4101;11.7829;14.5042;15.5593;0.0;14.1931;0.0;0.0;15.3152;0.0;0.0;20.0431;5.6984;9.0741;7.4705;6.5796;21.387
27;12.7364;12.724;4.799;8.9314;6.4075;6.1256;4.6051;2.5121;14.6282;11.2835;8.5667;7.2254;4.9523;12.5767;4.446;8.3242;14.4877;11.9428;12.5156;11.4509;4.5301;8.6159;7.0645;6.4223;5.0308;2.4442;6.4532;5.8811;5.1424;9.1536;11.0832;12.1957;7.2885;12.1714;0.0;0.0;11.1352;0.0;0.0;19.2264;5.0941;9.7978;7.5618;7.661;6.6299
28;9.7909;13.6644;4.8923;8.0833;6.9206;6.6281;4.6146;3.148;9.7901;10.2312;7.9318;6.6776;5.142;13.2248;4.2824;7.9004;7.2969;13.5334;10.1611;12.974;4.1373;8.0609;7.0515;6.6322;4.6757;2.9342;6.1008;5.0196;3.9754;9.3251;15.0551;12.2257;1.2583;13.4968;0.0;0.0;10.8279;0.0;0.0;17.3498;7.4364;9.4634;5.972;5.942;5.6526
29;12.5372;16.5336;4.9579;9.058;7.5317;7.3726;5.2106;2.8257;14.8905;11.3626;8.5558;7.1477;4.9456;14.4212;4.8101;8.8438;7.052;13.9193;13.9158;15.1901;4.9886;9.0185;7.4346;7.236;5.1739;3.1816;6.9529;4.9494;5.6229;9.9;5.8765;13.3217;6.8605;11.2204;0.0;0.0;18.6908;0.0;0.0;17.9297;5.7724;7.4731;6.5417;6.8981;7.3496
30;12.3926;12.7621;5.5897;8.6106;6.7463;6.1229;4.5607;2.8003;14.4714;11.0541;8.3226;6.1837;4.7209;12.5295;4.8887;7.9821;5.0641;12.2646;13.5015;12.8334;4.6053;8.2906;6.7334;6.3813;4.5583;2.8158;6.0368;5.5351;3.9149;8.6146;6.4949;10.8122;0.0;11.2596;0.0;0.0;6.3095;0.0;0.0;20.7634;5.237;9.2661;7.8515;6.8604;7.8565
31;12.3421;18.1309;5.252;9.3256;9.0423;8.3569;5.8762;3.4308;17.5635;11.457;8.7628;8.0316;6.2071;18.6544;5.5495;9.3712;7.9124;15.1492;12.4956;19.6176;5.2273;9.3363;9.4733;9.1139;5.8756;3.6159;7.9968;5.3897;6.1097;10.7412;9.956;14.6389;0.0;16.5484;0.0;0.0;14.2117;0.0;0.0;20.2379;6.5388;6.2354;4.9235;5.2197;5.2751
32;11.5414;13.8881;4.5847;8.8333;6.3977;6.5933;4.7947;2.7346;15.1648;11.5928;8.3093;7.0208;5.3292;14.4606;4.9389;8.027;4.3443;12.5685;11.5437;10.3136;4.2914;8.6598;6.8845;6.8837;5.0005;2.7807;6.3938;5.591;4.9683;8.6712;8.6581;12.4659;0.0;11.0636;0.0;0.0;6.0277;0.0;0.0;19.1931;6.2158;9.4556;4.6637;6.2467;5.7764
33;13.8273;20.2316;5.4376;9.2205;8.2223;8.2644;5.9688;3.5673;18.6782;12.8402;8.1145;7.274;6.0336;17.1515;6.9112;10.8918;12.7933;15.357;13.9394;18.2482;5.2332;9.2914;8.0725;8.8905;6.0221;3.7135;7.4837;5.6184;6.964;9.3327;10.9345;14.2307;0.0;11.6634;0.0;0.0;9.2309;0.0;0.0;20.4748;4.7939;8.9049;5.6806;7.0976;7.3703
34;11.2295;14.1544;4.9087;9.4113;6.3318;6.9682;5.192;2.8597;15.3892;11.0988;7.9609;7.1191;5.0118;12.9256;4.264;8.3176;14.3247;13.3353;12.094;13.5458;4.5043;9.1916;7.42;7.1977;5.2703;2.7796;6.452;4.9667;5.0423;9.5616;13.4702;12.0392;8.7006;12.0283;0.0;0.0;11.1988;0.0;0.0;18.7773;4.506;8.2311;6.6718;5.0628;5.4232
35;12.6531;13.1886;5.0237;9.301;6.6017;5.8336;4.1898;2.4728;13.3926;12.0752;7.8807;6.7942;4.6784;12.9816;4.4916;7.8777;0.0;11.817;12.9387;13.1754;4.7375;8.676;6.7041;5.9507;4.7345;2.4172;6.632;4.6252;4.5459;8.6673;2.9665;12.235;0.0;7.7075;0.0;0.0;0.0;0.0;0.0;17.4225;4.4688;7.9983;7.0794;7.2921;5.3552
36;13.3691;11.2203;4.4603;8.2748;6.2877;6.0255;4.669;2.5392;12.7448;10.4549;8.1141;6.3046;4.9318;13.2707;4.1052;7.9964;7.6055;11.792;12.3126;12.1893;4.6141;8.3786;6.3994;6.4803;5.4582;2.7771;6.2265;5.3879;5.5216;8.623;12.4778;11.6426;0.0;10.1449;0.0;0.0;19.8777;0.0;0.0;19.0974;4.3458;7.3261;7.8467;6.3126;4.8178
37;12.3041;13.7657;5.4451;8.7932;7.5344;7.1825;4.8836;3.709;15.6619;10.4637;8.7012;7.5259;5.5006;13.5826;5.5287;9.1337;18.473;14.9621;13.6534;13.0056;4.994;8.4301;7.0017;7.9087;5.0836;2.9255;7.0966;5.6213;4.8878;9.5319;6.1435;12.4087;0.0;13.3337;0.0;0.0;12.9184;0.0;0.0;16.218;8.5761;10.0746;10.2528;9.9657;11.812
38;14.6259;13.9649;6.1214;9.3648;7.9876;8.3196;5.8367;3.4122;15.0236;10.2881;9.5469;7.648;6.1139;14.5843;5.2669;9.2853;9.4322;14.8898;14.7542;10.6129;5.2217;8.6458;8.5671;8.1995;5.7393;3.5333;7.6492;5.2047;5.8041;10.8024;15.8008;12.8755;6.5283;13.563;0.0;0.0;24.7544;0.0;0.0;18.8035;8.206;13.3584;11.352;9.7525;7.9751
39;11.8796;16.0242;5.3758;9.2013;8.1708;6.7414;4.6573;3.0682;11.6748;10.9436;9.2967;7.8757;5.9616;13.0261;4.1522;9.0779;1.5274;13.2479;12.8278;13.5335;4.6866;9.3257;8.4285;7.8627;4.8618;3.3228;7.2702;5.8666;4.6862;10.609;4.5553;13.1709;0.0;17.0771;0.0;0.0;18.002;0.0;0.0;17.2426;9.1022;13.0509;10.8531;8.4819;8.6452
40;10.787;13.6802;5.299;9.1375;6.8891;7.2405;4.8222;2.8338;13.3663;11.1372;8.671;6.9552;5.2694;12.583;4.0262;8.3319;0.0;13.1788;11.0977;9.5784;4.876;9.3141;6.7959;7.4013;5.1299;2.7519;6.5045;6.358;4.8982;9.314;6.9375;12.848;10.0586;13.0975;0.0;0.0;16.0446;0.0;0.0;16.3504;9.9344;10.6606;8.576;7.5754;9.2624
41;11.9551;20.2262;5.181;9.406;7.8902;8.1292;6.577;3.6726;17.5391;11.5046;8.8213;8.7707;5.809;16.4313;5.3668;9.5893;9.6803;16.1277;13.0094;14.0113;5.658;9.1397;8.7924;8.8254;7.2474;3.845;7.7125;5.9574;6.3246;10.3684;11.2457;15.2186;16.8028;12.7025;0.0;0.0;16.4792;0.0;0.0;19.0284;6.9653;8.4428;7.4271;8.4596;8.5596
42;13.226;17.1775;5.4203;8.5233;6.9831;6.5856;5.2261;2.8222;16.7197;11.3491;8.6861;7.2017;5.3374;14.4495;4.0988;7.9062;5.4818;14.2964;13.1127;14.8452;5.0033;8.3065;6.9593;7.2575;5.2899;2.6797;7.0616;5.4046;4.1038;9.1;6.5661;12.2906;0.0;12.0438;0.0;0.0;14.9036;0.0;0.0;16.8955;11.108;10.4114;9.2109;8.2636;9.1275
43;14.6161;15.5415;5.2532;8.3122;7.3467;6.5626;5.7173;3.3113;15.7147;11.9992;8.349;7.4942;4.9969;14.9009;5.0356;8.9287;0.0;14.2388;14.3191;14.1543;4.7534;8.2252;7.685;7.0772;5.8446;3.1425;6.3378;4.957;5.5221;8.6116;9.9827;14.4975;0.0;12.0047;0.0;0.0;10.8079;0.0;0.0;11.9163;5.6908;11.7167;8.3893;7.8095;8.8768
44;15.3254;20.0576;5.643;9.2964;7.4938;7.1838;5.7649;3.6353;15.6154;9.9689;8.4342;7.662;6.0224;13.7137;4.3411;8.8911;15.1826;14.5533;15.0483;14.1152;5.4325;8.4192;7.5955;7.0143;5.6709;3.1928;6.9475;5.0962;4.9601;9.1046;19.2934;13.5231;2.7929;12.8478;0.0;0.0;19.2021;0.0;0.0;15.9598;9.0395;9.8058;9.6815;7.9765;11.342
45;17.3505;15.6051;5.499;9.2644;8.1151;8.2087;6.0882;4.446;17.7137;11.8864;8.6268;8.5618;5.7771;14.571;5.1503;9.3442;11.71;15.7507;13.3614;20.1932;5.3005;8.3832;8.1703;9.302;6.9149;3.4613;9.4405;6.3293;5.3534;9.2623;8.02;15.5513;12.3423;14.6814;0.0;0.0;13.9052;0.0;0.0;20.77;9.3001;10.8594;8.8237;11.5003;11.3861
46;12.2332;15.9021;5.3866;8.591;7.2928;6.8627;5.3345;3.1127;15.977;10.3018;8.6765;8.0087;5.5388;13.9078;6.9889;9.0201;10.4463;13.6952;12.093;13.7965;5.0507;8.4616;7.7546;7.3877;5.0234;2.579;7.5517;6.2359;4.571;9.2374;10.7988;12.6423;0.0;12.3058;0.0;0.0;12.2223;0.0;0.0;17.6563;9.0687;10.0784;8.5924;10.4321;10.1541
47;15.665;17.7909;6.1811;9.5702;7.8453;8.0297;5.8865;2.9741;20.3203;15.3966;8.1656;7.8949;5.8775;15.5681;5.7753;9.0237;10.4644;15.0647;19.385;10.8637;6.0399;9.1394;8.0381;6.9032;6.1011;2.7602;7.2088;5.3188;5.6025;9.5064;9.2226;12.7629;0.0;12.5043;0.0;0.0;19.3945;0.0;0.0;18.0864;8.2192;12.0498;11.6546;13.522;8.8395
48;12.6305;10.0999;4.8853;8.4215;7.0438;5.6766;4.0744;2.9297;14.5191;10.4287;8.8216;6.8108;4.805;12.7185;3.9564;8.4389;0.0;10.9855;12.0781;10.5432;4.5352;8.3462;6.2258;6.6171;4.5766;2.5078;6.3874;5.4047;4.5187;9.5714;9.0613;12.073;13.0945;10.8186;0.0;0.0;16.7606;0.0;0.0;14.3597;7.7334;11.6122;8.5793;9.4474;8.8189
49;14.4776;16.4318;5.2123;9.1316;7.7349;7.5811;5.4829;3.3178;16.5948;10.972;8.4409;8.1374;5.9369;14.9596;6.2167;9.3747;12.5277;15.3091;13.6221;15.9038;5.3163;8.8893;7.481;8.5443;5.5485;3.2821;8.0591;5.3285;5.426;9.9454;17.7053;14.5881;15.9385;15.6174;0.0;0.0;17.7478;0.0;0.0;20.0802;8.0266;9.6357;6.5353;8.6558;9.1525
50;14.9326;13.9823;5.5531;9.0347;7.6939;8.3534;6.0182;3.3656;18.924;11.4336;8.6455;7.6064;5.9524;16.7778;6.4801;8.712;6.4603;16.2558;14.4672;13.3728;6.0195;8.6264;8.598;8.7887;6.2859;3.3092;6.8925;5.3115;6.3672;9.4304;3.7013;16.0791;0.0;15.1439;0.0;0.0;14.0404;0.0;0.0;22.529;8.0875;17.0934;12.2418;10.0766;9.5754
51;13.6758;16.8628;5.8172;9.1977;8.2377;7.9544;5.4177;3.9187;16.9582;11.4618;9.0377;8.6594;7.3166;15.8583;5.8652;9.0722;7.9231;15.6939;13.4747;16.6293;5.3118;8.9043;8.5315;8.208;5.7573;3.5765;8.2618;6.4088;5.7406;10.4547;2.0;14.5621;10.7269;14.4379;0.0;0.0;16.6811;0.0;0.0;21.7527;7.6113;12.937;9.6735;8.2913;12.0415
52;12.9031;12.727;5.1493;8.6763;7.0589;6.8665;5.3452;2.4091;14.4845;11.6296;8.4226;7.3176;5.2852;13.4724;7.7947;10.1971;7.3439;13.1029;13.5949;11.1821;4.9387;8.4381;7.0671;7.4539;5.9224;2.2576;7.1152;5.844;3.8604;9.2129;4.5193;11.9462;0.0;15.1406;0.0;0.0;14.4589;0.0;0.0;30.7029;6.7878;12.1878;9.2978;11.4225;18.2557
53;12.504;9.182;4.939;8.1694;6.8903;6.6751;4.5203;3.0505;11.6936;10.9865;8.5876;6.8823;4.7537;12.6952;5.0188;8.0662;2.881;13.782;12.8752;13.7385;4.2885;7.9822;6.6115;6.6974;4.8514;2.0793;6.5585;4.9722;4.9587;8.6464;0.0;12.0436;5.3619;12.5397;0.0;0.0;20.0155;0.0;0.0;10.5814;8.2648;9.4778;8.55;8.3414;8.9424
54;12.4079;15.5844;5.7428;9.5744;8.4174;7.8426;5.4267;3.2941;13.6248;11.2672;9.4219;7.8544;5.3102;14.3116;5.8601;9.7849;5.512;15.1139;13.5475;15.5184;5.6993;9.3333;8.4528;8.0063;4.9906;3.4311;7.2832;4.8029;5.7162;11.2099;10.6212;13.9393;6.9498;13.8223;0.0;0.0;9.1833;0.0;0.0;20.7894;9.1113;9.4751;12.3285;11.8602;10.3991
55;16.7019;20.7628;5.7377;10.2229;8.4153;7.5805;6.5476;3.8927;18.3236;13.7791;8.5545;7.9602;5.7497;17.0046;6.0736;10.0961;7.5271;17.5654;16.9384;18.5842;4.9096;9.8833;8.8593;8.1656;6.5636;3.4411;7.6163;6.9985;6.5156;10.3806;9.8766;15.4435;0.0;14.332;0.0;0.0;13.3192;0.0;0.0;20.4211;8.5059;9.6142;10.629;11.7048;10.8914
56;13.7922;14.7655;5.572;8.9504;6.9359;7.9401;7.054;2.83;17.6987;11.2499;7.9018;7.8433;5.6362;14.2688;5.1753;8.6254;12.0745;15.8662;14.3305;12.5404;5.2735;8.276;7.7825;7.8617;6.2765;3.3959;7.2282;6.0663;6.6498;9.6826;11.6702;13.8793;0.0;14.0441;0.0;0.0;19.8032;0.0;0.0;18.0603;5.9592;9.6079;8.8517;9.4437;16.6582
57;10.449;15.6241;5.3524;9.5821;7.0747;6.7162;5.5123;2.6347;12.5005;11.2412;8.4275;7.4053;5.2959;13.8479;3.6555;8.9937;7.4308;14.2082;12.118;14.0926;4.5982;9.1558;7.4;7.1529;5.6492;2.786;6.6168;5.2042;4.4594;10.4256;9.2951;13.1702;11.1798;12.6137;0.0;0.0;18.0773;0.0;0.0;19.4809;8.0749;8.6244;7.4225;9.2956;8.6802
58;11.828;16.7346;5.4084;8.8751;7.7629;7.2106;5.123;3.2293;11.8995;11.3125;8.2463;7.7704;5.2239;13.9197;4.5202;9.1188;6.9375;14.1616;12.2059;15.1113;5.1698;8.3075;8.4081;7.4429;5.4822;3.4267;6.5377;5.7356;5.1333;9.5022;10.625;12.2631;2.6458;12.0434;0.0;0.0;15.6018;0.0;0.0;18.4985;9.2577;10.0719;7.4946;7.7768;9.5813
